Accident_ID,Age,Driver_Experience,Vehicle_Speed,Traffic_Density,Visibility,Number_of_Vehicles,Road_Width,Historical_Accidents,Rainfall,Temperature,Hour,Day_of_Week,Weather,Road_Condition,Road_Type,Junction_Type,Lighting,Traffic_Control,Area_Type,Vehicle_Type,Driver_Distraction,Alcohol_Involved,Accident_Risk
ACC10026,37,29,54.5,94.7,5.92,4,8.9,5,6.86,26.9,19,Sunday,Rain,Dry,Urban Road,Straight Road,Street Lights,Uncontrolled,Rural,Motorcycle,No,No,High
ACC10027,18,0,57.5,88.4,5.45,5,8.3,3,0.92,35.7,12,Thursday,Clear,Dry,Residential,Straight Road,,Signal,Urban,SUV,Yes,No,High
ACC10028,27,6,70.9,46.3,5.17,3,11.1,6,0.83,28.6,16,Tuesday,Cloudy,Dry,Residential,Crossroad,,Stop Sign,Urban,Car,No,No,High
ACC10029,43,23,64.8,100.0,6.97,3,8.4,6,5.64,34.4,5,Saturday,Cloudy,Wet,Rural Road,Straight Road,Daylight,Uncontrolled,Suburban,Bus,No,No,High
ACC10030,20,0,65.9,92.1,4.96,3,5.1,1,0.3,30.1,4,Friday,Clear,Dry,Rural Road,Intersection,Daylight,Signal,Urban,Motorcycle,No,No,High
ACC10031,32,23,85.5,41.4,7.17,1,7.2,13,3.63,22.5,1,Wednesday,Cloudy,Dry,Urban Road,Intersection,Daylight,Signal,Suburban,SUV,No,No,Low
ACC10032,26,18,66.7,51.7,6.41,4,13.8,4,0.86,23.9,5,Sunday,Clear,Dry,Residential,Intersection,Daylight,Uncontrolled,Urban,Bus,No,Yes,Low
ACC10033,18,0,60.0,51.7,11.26,4,6.5,6,0.83,20.6,14,Tuesday,,Dry,Residential,T-Junction,Daylight,Signal,Urban,SUV,Yes,No,Low
ACC10034,22,0,71.2,41.9,7.61,2,9.7,4,1.25,26.4,8,Monday,Fog,Wet,Residential,Straight Road,Daylight,Signal,Urban,Bus,No,No,High
ACC10035,27,14,55.0,71.7,12.0,1,10.9,5,15.52,23.9,1,Wednesday,Storm,Dry,Rural Road,Intersection,Daylight,Signal,Suburban,Bus,No,No,High
ACC10036,38,24,58.1,65.7,11.85,3,9.2,3,26.75,33.0,11,Friday,Rain,Dry,Urban Road,T-Junction,Poor,Signal,Urban,Car,No,No,Medium
ACC10037,50,30,81.8,70.7,7.48,2,5.5,6,0.73,29.8,13,Friday,Clear,Wet,Residential,Intersection,Street Lights,Uncontrolled,Urban,Car,No,No,High
ACC10038,35,20,61.2,71.3,7.74,4,8.2,8,0.09,28.5,17,Thursday,Clear,Damaged,Urban Road,Roundabout,Poor,Stop Sign,Suburban,Car,Yes,No,High
ACC10039,36,25,70.5,65.9,9.94,7,5.1,5,5.09,23.3,19,Sunday,Rain,Wet,Highway,Crossroad,Daylight,Signal,Suburban,Truck,No,No,High
ACC10040,43,34,80.5,36.4,4.34,1,10.4,7,0.6,22.6,20,Saturday,Clear,Damaged,Urban Road,Straight Road,Street Lights,Stop Sign,Urban,Car,Yes,No,High
ACC10041,40,35,90.4,54.2,10.04,4,8.5,5,0.21,27.6,8,Monday,Clear,Wet,Residential,Crossroad,Daylight,Traffic Police,Rural,Car,No,No,Medium
ACC10042,28,11,25.9,57.5,11.8,2,12.5,14,1.78,31.0,7,Tuesday,Cloudy,Dry,Urban Road,Crossroad,Street Lights,Signal,Suburban,SUV,No,No,Low
ACC10043,29,21,28.1,53.3,5.96,3,9.8,8,0.29,26.6,21,Sunday,Clear,Dry,Urban Road,Roundabout,Daylight,Signal,Urban,Truck,No,No,Low
ACC10044,41,19,37.7,75.1,8.26,3,3.2,3,15.89,23.3,21,Thursday,Fog,Wet,Highway,Roundabout,Daylight,Traffic Police,Urban,SUV,No,Yes,High
ACC10045,40,15,26.8,57.7,6.58,3,7.7,7,1.55,22.6,10,Friday,Clear,Wet,Rural Road,Roundabout,Poor,Traffic Police,Suburban,Car,No,No,Medium
ACC10046,37,23,120.3,93.7,10.51,3,4.4,5,14.99,14.8,16,Tuesday,Rain,Wet,Highway,T-Junction,Street Lights,Signal,Urban,Car,No,No,High
ACC10047,28,21,78.5,54.1,12.0,4,11.8,5,0.36,30.2,7,Friday,Clear,Dry,Urban Road,Intersection,Poor,Signal,Urban,Car,No,No,Low
ACC10048,53,36,48.3,94.9,4.68,2,5.7,7,3.86,27.7,4,Friday,Cloudy,Dry,Urban Road,Straight Road,Daylight,Signal,Suburban,Car,No,Yes,High
ACC10049,26,10,60.3,53.7,8.22,2,10.5,3,4.52,15.7,8,Monday,Cloudy,Dry,Rural Road,Roundabout,Daylight,Signal,Urban,Car,No,No,Medium
ACC10050,34,26,43.4,64.3,8.91,4,10.2,8,0.15,25.8,22,Wednesday,Clear,Dry,Residential,Straight Road,Daylight,Uncontrolled,Suburban,Car,Yes,No,High
ACC10051,50,32,36.0,65.0,9.76,1,7.2,4,24.52,21.3,15,Tuesday,Storm,Dry,Rural Road,Straight Road,Street Lights,Signal,Urban,Car,No,No,High
ACC10052,36,25,20.0,23.5,6.36,3,11.1,4,13.37,31.0,12,Monday,Rain,Wet,Highway,Straight Road,Street Lights,Signal,Urban,Motorcycle,No,No,Medium
ACC10053,34,12,25.7,23.0,6.7,5,8.8,3,2.28,21.2,10,Saturday,Fog,Dry,Residential,Roundabout,Poor,Stop Sign,Urban,Car,Yes,No,Medium
ACC10054,38,21,72.1,63.6,11.8,5,13.8,7,16.21,14.5,18,Sunday,Fog,Dry,Highway,Roundabout,Daylight,Traffic Police,Urban,Car,Yes,No,High
ACC10055,28,14,47.8,29.7,4.12,4,5.5,6,2.42,16.5,16,Friday,Cloudy,Dry,Highway,Intersection,Street Lights,Signal,Suburban,Truck,Yes,No,Medium
ACC10056,34,10,41.2,70.3,8.32,3,11.4,10,3.42,18.5,9,Friday,Fog,Wet,Highway,Roundabout,Daylight,Signal,Suburban,Truck,No,No,High
ACC10057,43,28,91.2,95.3,6.69,3,9.8,5,1.58,34.6,17,Monday,Clear,Dry,Highway,Roundabout,Daylight,Traffic Police,Urban,Bus,No,No,High
ACC10058,45,22,65.1,37.5,7.14,3,6.7,2,0.47,28.4,15,Saturday,Clear,Dry,Rural Road,Straight Road,Daylight,Stop Sign,Rural,Motorcycle,No,No,Medium
ACC10059,53,43,80.2,50.5,12.0,3,11.6,6,0.99,34.4,7,Tuesday,Clear,Dry,Highway,Intersection,Daylight,Signal,Urban,SUV,No,No,Medium
ACC10060,27,13,45.6,5.0,8.08,2,6.9,6,0.16,13.7,19,Friday,Clear,Dry,Urban Road,Crossroad,,Signal,Urban,SUV,No,No,Low
ACC10061,49,42,77.9,9.6,11.7,4,11.7,4,2.15,26.8,22,Saturday,Clear,Damaged,Urban Road,Roundabout,Daylight,Signal,Urban,Motorcycle,No,No,Low
ACC10062,42,29,68.3,71.6,11.52,3,6.2,3,1.01,21.7,2,Tuesday,Clear,Damaged,Urban Road,Roundabout,Daylight,Stop Sign,Urban,Motorcycle,No,No,High
ACC10063,47,24,32.8,58.5,10.77,5,9.3,9,8.59,20.3,12,Monday,Rain,Dry,Highway,Crossroad,Daylight,Signal,Suburban,Car,No,No,Low
ACC10064,20,0,58.0,38.5,4.4,2,8.9,5,0.28,18.5,21,Friday,Clear,Dry,Urban Road,Straight Road,Daylight,Signal,Urban,Truck,Yes,No,High
ACC10065,27,2,22.8,5.0,7.97,3,13.1,7,1.04,29.3,11,Thursday,Clear,Wet,Urban Road,Intersection,Daylight,Signal,Urban,Motorcycle,Yes,Yes,Low
ACC10066,38,18,53.5,47.2,10.93,3,8.5,3,2.21,21.8,13,Thursday,Cloudy,Dry,Rural Road,Straight Road,Daylight,Signal,Urban,SUV,No,No,Medium
ACC10067,43,33,44.0,61.1,11.07,4,4.9,4,0.2,34.9,6,Friday,Clear,Dry,Rural Road,T-Junction,Poor,Stop Sign,Suburban,Motorcycle,No,No,Low
ACC10068,30,22,65.5,89.0,8.38,3,7.9,4,14.97,16.9,6,Wednesday,Rain,Dry,Rural Road,Roundabout,Poor,Signal,Rural,SUV,No,No,High
ACC10069,31,22,51.4,50.1,8.64,3,5.7,5,0.69,32.2,3,Friday,,Damaged,Highway,T-Junction,Daylight,Signal,Suburban,SUV,Yes,No,Medium
ACC10070,23,5,80.3,100.0,5.61,3,12.9,5,28.25,27.7,14,Friday,Storm,Dry,Residential,Roundabout,Poor,Traffic Police,Urban,SUV,No,No,High
ACC10071,29,16,53.4,47.1,1.67,4,8.2,7,50.14,26.8,20,Friday,Rain,Dry,Residential,T-Junction,Street Lights,Stop Sign,Suburban,Car,No,No,High
ACC10072,31,18,61.2,29.8,6.04,4,6.5,6,0.21,22.8,13,Monday,Clear,Wet,Rural Road,Crossroad,Daylight,Signal,Urban,Car,Yes,No,High
ACC10073,31,9,65.3,97.6,12.0,2,7.6,7,1.15,33.7,10,Friday,Clear,Dry,Highway,Roundabout,,Uncontrolled,Urban,Bus,No,No,Medium
ACC10074,25,5,51.7,91.9,4.97,2,12.6,6,9.63,26.9,21,Friday,Rain,Dry,Urban Road,Roundabout,Poor,Signal,Rural,Bus,No,No,High
ACC10075,56,47,80.4,90.8,8.71,4,12.3,9,6.22,31.7,17,Monday,Rain,Icy,Residential,T-Junction,Street Lights,Uncontrolled,Urban,Car,No,No,High
ACC10076,46,38,73.9,100.0,9.89,6,9.8,6,17.51,30.0,11,Friday,Rain,Dry,Urban Road,Intersection,Street Lights,Uncontrolled,Urban,Bus,No,No,High
ACC10077,42,21,64.7,73.2,6.4,2,6.5,7,17.03,25.4,18,Thursday,Rain,Wet,Urban Road,T-Junction,Poor,Uncontrolled,Urban,Motorcycle,Yes,No,High
ACC10078,48,24,48.8,41.6,6.96,4,8.5,5,0.21,29.6,7,Thursday,Clear,Dry,Highway,Roundabout,Daylight,Uncontrolled,Urban,Car,Yes,No,Medium
ACC10079,41,32,37.3,12.3,7.1,3,6.4,5,0.7,33.2,9,Sunday,Clear,Dry,Urban Road,Roundabout,,Signal,Urban,Motorcycle,No,No,Medium
ACC10080,60,36,58.3,54.8,7.94,2,9.8,11,1.09,25.7,22,Saturday,Clear,Dry,Residential,Intersection,Daylight,Uncontrolled,Urban,SUV,No,No,High
ACC10081,26,12,55.8,34.7,9.36,3,6.3,5,1.57,32.8,6,Sunday,Fog,Dry,Highway,Straight Road,Daylight,Signal,Urban,Motorcycle,No,No,Medium
ACC10082,18,0,42.7,54.2,9.44,4,10.9,6,1.58,23.3,9,Sunday,Cloudy,Dry,Highway,Intersection,Daylight,Signal,Rural,Bus,No,No,Low
ACC10083,25,5,52.7,6.4,5.47,4,6.9,6,0.99,16.5,3,Friday,Clear,Wet,Rural Road,Straight Road,Daylight,Traffic Police,Suburban,Car,No,No,Low
ACC10084,18,0,36.2,17.3,11.42,1,8.6,5,2.59,22.6,9,Monday,Clear,Dry,Highway,Roundabout,Daylight,Stop Sign,Rural,Truck,No,No,Low
ACC10085,21,3,87.0,68.1,7.81,1,9.4,5,0.52,32.3,23,Friday,Clear,Dry,Urban Road,Crossroad,Daylight,Traffic Police,Suburban,SUV,No,No,High
ACC10086,28,20,75.7,65.9,2.14,5,8.1,8,0.93,30.6,18,Friday,Clear,Dry,Highway,Crossroad,Daylight,Signal,Suburban,Motorcycle,Yes,No,High
ACC10087,33,27,35.1,46.7,5.09,2,10.5,5,11.65,23.7,4,Saturday,Rain,Wet,Rural Road,T-Junction,Daylight,Stop Sign,Urban,Car,No,No,Medium
ACC10088,47,29,62.6,20.3,7.14,2,8.6,7,3.9,26.8,4,Tuesday,Cloudy,Dry,Highway,Intersection,Daylight,Signal,Urban,Truck,No,Yes,Medium
ACC10089,53,47,22.0,61.8,6.21,2,8.3,9,1.06,30.1,17,Sunday,,Dry,Rural Road,Intersection,Daylight,Stop Sign,Suburban,SUV,No,No,Medium
ACC10090,38,28,52.3,46.4,5.15,5,9.0,5,2.46,33.6,17,Saturday,Cloudy,Dry,Urban Road,Crossroad,Street Lights,Signal,Urban,Car,No,No,Medium
ACC10091,22,13,54.2,44.9,7.68,4,9.1,5,0.54,27.5,8,Wednesday,Clear,Dry,Urban Road,Straight Road,Poor,Signal,Urban,Motorcycle,No,No,Medium
ACC10092,29,15,44.1,86.0,11.3,2,10.0,8,23.18,45.0,1,Monday,Rain,Dry,Urban Road,Intersection,Daylight,Signal,Urban,Car,Yes,No,High
ACC10093,32,15,42.8,91.9,9.45,5,3.5,4,6.15,27.9,18,Sunday,Rain,Wet,Highway,Straight Road,Daylight,Uncontrolled,Suburban,Motorcycle,No,No,High
ACC10094,30,7,62.2,69.5,5.67,2,10.8,12,0.18,16.8,23,Wednesday,Cloudy,Dry,Rural Road,Straight Road,Poor,Signal,Rural,Motorcycle,No,No,Medium
ACC10095,20,0,49.4,66.9,12.0,2,7.2,7,47.83,25.0,12,Tuesday,Rain,Dry,Rural Road,Straight Road,Daylight,Uncontrolled,Urban,SUV,No,No,Medium
ACC10096,49,24,68.8,90.6,10.11,7,5.3,7,5.98,28.1,0,Wednesday,Cloudy,Dry,Highway,Straight Road,Street Lights,Signal,Urban,Motorcycle,No,No,Medium
ACC10097,18,0,82.0,,5.4,5,5.7,10,3.61,29.0,5,Friday,Cloudy,Wet,Highway,T-Junction,Daylight,Signal,Rural,Motorcycle,No,No,High
ACC10098,29,6,64.2,43.5,5.59,2,11.6,7,0.45,20.3,5,Thursday,Clear,Dry,Rural Road,T-Junction,Street Lights,Signal,Urban,SUV,No,No,Medium
ACC10099,36,15,82.4,58.6,7.73,2,9.9,7,1.25,29.1,12,Monday,Clear,Dry,Urban Road,Crossroad,Poor,Traffic Police,Urban,Car,No,No,Medium
ACC10100,37,14,44.4,78.1,9.2,2,3.9,6,0.03,22.9,3,Monday,Clear,Dry,Urban Road,T-Junction,Street Lights,Signal,Urban,Truck,No,No,High
ACC10101,31,24,57.9,64.1,10.73,2,8.8,6,0.43,20.3,9,Friday,Clear,Dry,Residential,Intersection,Daylight,Signal,Rural,Bus,No,Yes,Medium
ACC10102,38,14,77.9,5.0,4.29,3,7.4,7,2.92,37.1,4,Saturday,Cloudy,Dry,Highway,T-Junction,Poor,Uncontrolled,Urban,Car,No,No,Medium
ACC10103,23,13,54.2,83.8,7.93,3,8.3,8,0.27,22.8,4,Sunday,Clear,Dry,Residential,Intersection,Street Lights,Signal,Urban,Car,No,Yes,High
ACC10104,34,18,63.1,68.2,8.59,3,4.4,10,0.66,33.1,4,Sunday,Cloudy,Dry,Urban Road,Intersection,Street Lights,Uncontrolled,Urban,Motorcycle,No,No,High
ACC10105,21,6,39.7,66.4,8.69,3,9.5,8,1.06,28.2,22,Sunday,Fog,Dry,Rural Road,Straight Road,Daylight,Signal,Rural,Car,Yes,No,High
ACC10106,25,9,88.2,78.6,6.72,2,9.7,10,0.37,21.5,10,Wednesday,Clear,Dry,Urban Road,Crossroad,Street Lights,Stop Sign,Rural,Car,No,Yes,High
ACC10107,46,27,44.4,53.3,8.76,4,8.1,2,0.95,31.6,18,Monday,Clear,Dry,Urban Road,Straight Road,Daylight,Signal,Urban,SUV,No,No,Low
ACC10108,32,16,61.4,64.5,9.68,3,8.3,6,11.79,22.7,3,Saturday,Rain,Dry,Highway,Straight Road,Daylight,Stop Sign,Rural,Motorcycle,Yes,No,Medium
ACC10109,33,14,45.5,78.1,3.88,4,6.5,6,0.23,23.3,13,Sunday,Clear,Wet,Urban Road,T-Junction,Street Lights,Uncontrolled,Urban,SUV,Yes,No,High
ACC10110,30,14,35.8,71.9,7.96,3,7.9,2,0.27,26.5,19,Sunday,Clear,Damaged,Urban Road,T-Junction,Daylight,Uncontrolled,Urban,Car,Yes,No,Medium
ACC10111,28,23,65.6,36.4,2.7,5,11.2,5,0.27,23.5,20,Tuesday,Clear,Icy,Urban Road,Intersection,Street Lights,Stop Sign,Rural,SUV,Yes,No,High
ACC10112,35,17,89.3,51.9,4.32,5,7.9,5,1.32,19.1,10,Sunday,Clear,Damaged,Urban Road,T-Junction,Street Lights,Traffic Police,Urban,Bus,No,No,High
ACC10113,60,44,44.1,44.7,4.44,2,10.7,7,5.58,21.8,16,Tuesday,Fog,Wet,Rural Road,T-Junction,Daylight,Signal,Urban,Bus,No,No,Medium
ACC10114,19,2,39.0,,5.45,1,7.3,5,1.18,16.3,18,Wednesday,Rain,Wet,Highway,Roundabout,Street Lights,Signal,Urban,Car,No,Yes,High
ACC10115,24,19,47.4,88.8,9.08,4,8.9,7,5.18,18.2,4,Tuesday,Cloudy,Dry,Urban Road,Intersection,Poor,Stop Sign,Suburban,Motorcycle,No,No,High
ACC10116,25,11,51.5,82.9,6.72,3,9.0,7,7.61,32.6,18,Sunday,Fog,Wet,Urban Road,Intersection,Daylight,Stop Sign,Rural,Motorcycle,No,No,High
ACC10117,18,0,65.3,78.2,10.19,4,7.8,4,26.81,26.6,7,Thursday,Rain,Dry,Urban Road,Roundabout,Street Lights,Signal,Rural,Bus,Yes,No,Medium
ACC10118,34,22,23.5,27.1,8.34,3,11.8,12,0.71,23.2,12,Friday,Clear,Dry,Highway,Intersection,Daylight,Stop Sign,Suburban,Bus,No,No,Low
ACC10119,33,19,78.3,47.6,8.52,2,9.5,6,4.03,29.2,0,Sunday,Fog,Wet,Urban Road,Crossroad,,Signal,Rural,Car,No,No,Medium
ACC10120,28,21,82.9,5.0,10.56,6,10.6,7,1.58,9.8,7,Monday,Cloudy,Dry,Rural Road,Crossroad,Daylight,Uncontrolled,Urban,SUV,No,Yes,Low
ACC10121,42,28,64.7,59.3,5.09,8,6.7,9,19.31,18.5,23,Saturday,Rain,Dry,Urban Road,Roundabout,Daylight,Uncontrolled,Suburban,SUV,No,No,High
ACC10122,30,17,38.2,51.2,8.45,2,12.2,8,7.57,22.3,6,Friday,Fog,Damaged,Urban Road,T-Junction,Daylight,Stop Sign,Suburban,Motorcycle,No,No,Medium
ACC10123,33,10,77.5,50.4,8.18,4,7.9,7,0.33,21.8,4,Wednesday,Clear,Dry,Residential,Crossroad,Poor,Signal,Urban,Car,No,Yes,High
ACC10124,37,31,49.4,86.3,7.66,6,10.5,8,0.12,26.9,11,Friday,,Dry,Rural Road,Roundabout,Street Lights,Stop Sign,Urban,Bus,No,No,Medium
ACC10125,31,7,61.1,42.5,11.16,5,7.5,2,0.73,32.7,16,Monday,Clear,Damaged,Urban Road,Crossroad,Daylight,Uncontrolled,Urban,Motorcycle,No,No,Medium
ACC10126,54,37,57.1,69.0,9.21,6,6.7,2,0.2,31.7,13,Sunday,Clear,Wet,Rural Road,Straight Road,Daylight,Signal,Suburban,Bus,No,No,Medium
ACC10127,31,15,36.3,93.2,6.48,2,11.7,6,7.25,33.3,18,Saturday,Rain,Dry,Highway,Roundabout,Daylight,Stop Sign,Urban,Bus,No,No,Medium
ACC10128,42,19,93.0,61.6,6.04,1,7.2,3,5.6,31.2,21,Monday,Fog,Dry,Rural Road,Intersection,Daylight,Traffic Police,Urban,Car,No,No,High
ACC10129,34,25,34.3,83.6,7.65,4,9.1,9,0.08,23.0,19,Wednesday,Clear,Dry,Highway,Crossroad,Daylight,Signal,Urban,Truck,No,No,Medium
ACC10130,35,26,58.2,74.7,10.66,7,7.1,6,2.25,24.8,8,Monday,Cloudy,Damaged,Rural Road,Intersection,Daylight,Signal,Urban,Motorcycle,No,No,High
ACC10131,45,23,60.7,43.0,9.54,3,4.1,6,0.27,29.9,5,Tuesday,Clear,Dry,Residential,Roundabout,Daylight,Signal,Suburban,SUV,No,No,Low
ACC10132,32,8,59.0,66.7,8.75,3,8.8,6,0.24,24.4,20,Saturday,Clear,Dry,Urban Road,Crossroad,Daylight,Stop Sign,Urban,Car,Yes,No,High
ACC10133,34,12,62.4,99.8,6.18,3,12.0,9,0.61,30.4,8,Saturday,Clear,Dry,Highway,Intersection,Street Lights,Traffic Police,Urban,Car,No,No,High
ACC10134,38,32,58.1,54.8,6.96,2,6.7,6,0.33,31.4,17,Friday,Clear,Dry,Highway,T-Junction,Street Lights,Stop Sign,Suburban,SUV,No,No,Medium
ACC10135,29,11,65.1,51.8,2.36,5,7.0,9,3.21,28.1,9,Thursday,Fog,Damaged,Urban Road,T-Junction,Daylight,Signal,Rural,Car,No,No,High
ACC10136,40,26,40.1,60.5,10.04,2,8.9,3,0.23,35.1,8,Thursday,Clear,Dry,Urban Road,Straight Road,Daylight,Stop Sign,Urban,Truck,Yes,No,Medium
ACC10137,52,31,36.8,100.0,9.31,3,9.2,4,1.03,21.4,1,Thursday,Cloudy,Wet,Urban Road,Roundabout,Daylight,Stop Sign,Urban,Car,No,No,Low
ACC10138,26,18,78.1,44.8,12.0,3,7.2,4,8.02,27.0,11,Wednesday,Rain,Dry,Highway,Intersection,Poor,Stop Sign,Rural,Motorcycle,No,No,Medium
ACC10139,28,5,66.6,51.5,8.62,2,5.6,5,1.26,31.3,20,Thursday,Clear,Wet,Highway,Straight Road,Street Lights,Signal,Urban,Truck,No,No,Medium
ACC10140,24,12,55.1,54.9,10.82,4,9.4,4,22.44,10.9,14,Saturday,Storm,Damaged,Highway,Roundabout,Street Lights,Stop Sign,Rural,Motorcycle,No,No,Medium
ACC10141,55,44,81.7,46.2,9.11,2,7.2,4,73.83,18.3,14,Sunday,Storm,Dry,Urban Road,T-Junction,Poor,Signal,Urban,SUV,No,Yes,High
ACC10142,42,33,67.4,57.4,8.01,4,10.4,4,0.5,17.7,9,Saturday,Clear,Dry,Highway,Intersection,Daylight,Signal,Urban,Car,No,Yes,High
ACC10143,21,16,71.1,22.7,9.14,4,6.5,8,2.22,29.5,12,Friday,Cloudy,Dry,Residential,Crossroad,Poor,Stop Sign,Urban,Car,No,No,Medium
ACC10144,19,8,84.8,40.2,9.22,1,7.6,7,0.44,25.6,4,Monday,Clear,Wet,Highway,T-Junction,,Traffic Police,Urban,Motorcycle,No,No,High
ACC10145,42,34,60.4,38.4,8.03,2,6.5,5,1.74,20.8,20,Tuesday,Clear,Dry,Highway,Crossroad,Daylight,Signal,Rural,Truck,Yes,No,High
ACC10146,61,41,51.2,30.9,9.39,4,8.5,8,0.53,22.6,16,Sunday,Clear,Damaged,Rural Road,Crossroad,Street Lights,Traffic Police,Rural,Motorcycle,No,No,Medium
ACC10147,34,14,50.4,76.5,11.7,2,6.8,2,3.15,23.0,5,Thursday,Cloudy,Wet,Rural Road,Intersection,Daylight,Signal,Rural,Car,Yes,No,Medium
ACC10148,19,0,20.1,80.0,8.38,5,9.8,12,0.62,31.2,11,Thursday,Cloudy,Damaged,Highway,Intersection,Street Lights,Uncontrolled,Rural,SUV,Yes,No,High
ACC10149,18,13,39.3,73.4,10.83,2,8.1,7,1.08,31.4,2,Sunday,Clear,Wet,Residential,Crossroad,Daylight,Signal,Rural,Motorcycle,No,No,Medium
ACC10150,31,19,71.6,51.4,11.04,3,9.0,6,0.12,22.6,18,Thursday,Clear,Dry,Highway,Straight Road,Street Lights,Signal,Suburban,Car,No,No,Low
